WikiID,Entity,Type
Q2235709,Schillerdenkmal (Hannover),Monument
Q2235812,Schiller stone,Monument
Q2241996,RAF monument,Monument
Q2254739,Schwedensäule,Monument
Q2256022,Santo Toribio de Liébana,Monument
Q2274061,Plaza de toros de la Maestranza,Monument
Q2275987,Iglesia de Santa María La Coronada,Monument
Q2281062,Sibyllentürmchen,Monument
Q2283133,Siegesdenkmal,Monument
Q2283137,Monument of victory Leipzig,Monument
Q2283143,Schwerin Victory Column,Monument
Q2293331,Santa Maria del Pi,Monument
Q2293995,Cathedral of San Juan de Albacete,Monument
Q2294240,Roman temple of Vic,Monument
Q2299609,Monument to the Conquerors of Space,Monument
Q2304747,Southernmost point buoy,Monument
Q2316213,St. John of Nepomuk Monument,Monument
Q23180,Lu Xun Memorial Hall,Monument
Q231934,Zwei-Welten-Säule,Monument
Q2323151,Jewish monument,Monument
Q2332610,Starcevich memorial monument,Monument
Q2339565,Good Fortune stone,Monument
Q2341107,Palau Nacional,Monument
Q2344115,Żegota Monument in Warsaw,Monument
Q2360379,Roman amphitheatre of Mérida,Monument
Q2362262,Palau del Baró de Quadras,Monument
Q2363829,Path of Remembrance and Comradeship,Monument
Q2364085,Museo de Prehistoria y Arqueología de Cantabria,Monument
Q2374804,Queen Emma Memorial,Monument
Q2377511,Fountain of Samson,Monument
Q2380092,Iglesia Catedral de Nuestra Señora de la Encarnación,Monument
Q2383022,Tarass Shevtchenko Tomb,Monument
Q2389195,Mother Armenia,Monument
Q2402356,"Monument to Catherine II of Russia, Saint Petersburg",Monument
Q2402690,Tempel von Nordoe,Monument
Q2406911,Tetzelstein,Monument
Q2419103,Monument aux Repatriés d'Afrique du Nord,Monument
Q2419290,Murcia's Cathedral,Monument
Q2420025,Crystal Palace,Monument
Q2420400,Theurer Christian,Monument
Q2421414,Ares Castle,Monument
Q2432039,Tiegelgussdenkmal,Monument
Q2436918,Radiomonument,Monument
Q2444564,Torre de Sant Josep,Monument
Q244947,Aqueduct of Segovia,Monument
Q245151,Tower of Hercules,Monument
Q2459111,"Ivan Franko monument, Vienna",Monument
Q2459331,Tawau Japanese War Memorial,Monument
Q2462558,Salamanca New Cathedral,Monument
Q247327,Zähringer memorial,Monument
Q2473884,Royal Basilica of Saint Francis the Great,Monument
Q2478458,National Archaeological Museum of Tarragona,Monument
Q2488372,"Vissersmonument, Wierum",Monument
Q2498995,Machuytschans,Monument
Q2502213,Scott Monument,Monument
Q2503255,Castle of Arcos de la Frontera,Monument
Q250523,Pont del Diable,Monument
Q2509421,Vic Cathedral,Monument
Q2511122,El Fadrí,Monument
Q2511338,Iglesia de Santiago de Mens,Monument
Q2511354,Pazo de Meirás,Monument
Q2511554,Iglesia de San Jorge,Monument
Q2511667,Monument of Sokołowo,Monument
Q2513105,Iglesia de Santiago,Monument
Q2534168,Valladolid Royal Palace,Monument
Q2542555,Royal Tobacco Factory of Seville,Monument
Q2547039,Waltherdenkmal Bozen,Monument
Q2547508,Casa de los Botines,Monument
Q2549562,Graaf Adolfmonument,Monument
Q2554437,National Slavery Memorial,Monument
Q2556855,Weiße Frau Schwarzenberg,Monument
Q2558694,International Telecommunication Union Monument,Monument
Q2559736,Millennium Monument of Brest,Monument
Q2561516,Casa de les Punxes,Monument
Q2564552,Arch of Neutrality,Monument
